id;created_at;updated_at;active
1;2025-12-20T01:08:55;2025-12-20T14:47:40;true
2;2025-12-20T00:08:15;2025-12-20T21:04:38;false
3;2025-12-20T21:13:01;2025-12-20T17:13:42;false
4;2025-12-20T08:50:19;2025-12-20T10:08:35;false
5;2025-12-20T08:05:30;2025-12-20T11:47:07;false
6;2025-12-20T01:15:05;2025-12-20T03:27:42;true
7;2025-12-20T13:35:28;2025-12-20T04:25:28;false
8;2025-12-20T08:05:47;2025-12-19T22:26:29;true
9;2025-12-20T15:43:58;2025-12-20T01:39:45;true
10;2025-12-20T13:06:32;2025-12-20T05:33:00;false
